Date,gross_ret,net_ret,turnover,pos,gross_eq,net_eq
2011-02-16,0.008394380103096056,0.008394380103096056,0.0,1.0,2.4455400701380414,2.110197299096935
2011-02-17,0.00252394954507242,0.00252394954507242,0.0,1.0,2.4517124898855225,2.115523330610004
2011-02-18,0.0020411881889124683,0.0020411881889124683,0.0,1.0,2.4567168964624857,2.119841511845814
2011-02-22,-0.013260263819417537,-0.013260263819417537,0.0,1.0,2.424140182285772,2.091731854143385
2011-02-23,-0.0024379868234944042,-0.0024379868234944042,0.0,1.0,2.418230160463056,2.0866322394447
2011-02-24,0.00043216652701491554,0.00043216652701491554,0.0,1.0,2.419275238593026,2.0875340120527777
2011-02-25,0.0,-0.0005,0.5,0.0,2.419275238593026,2.0864902450467513
2011-02-28,0.0037299869012302105,0.0032299869012302105,0.5,1.0,2.4282991035434485,2.093229581207797
2011-03-01,-0.004562621205927217,-0.004562621205927217,0.0,1.0,2.417219694559287,2.083678967531704
2011-03-02,0.0004892509184967198,0.0004892509184967198,0.0,1.0,2.4184023215150585,2.084698409380421
2011-03-03,0.008811820844287367,0.008811820844287367,0.0,1.0,2.4397128495016576,2.103068398278252
2011-03-04,-0.0007761732129677918,-0.0007761732129677918,0.0,1.0,2.437819209740541,2.1014360529224696
2011-03-07,-0.006959132599183025,-0.006959132599183025,0.0,1.0,2.4208541026071213,2.0868118807814784
2011-03-08,0.0028416703134945824,0.0028416703134945824,0.0,1.0,2.4277333718438014,2.0927419121529427
2011-03-09,0.0,-0.0005,0.5,0.0,2.4277333718438014,2.0916955411968665
2011-03-10,0.0,0.0,0.0,0.0,2.4277333718438014,2.0916955411968665
2011-03-11,0.0,0.0,0.0,0.0,2.4277333718438014,2.0916955411968665
2011-03-14,0.0,0.0,0.0,0.0,2.4277333718438014,2.0916955411968665
2011-03-15,0.0,0.0,0.0,0.0,2.4277333718438014,2.0916955411968665
2011-03-16,0.0,0.0,0.0,0.0,2.4277333718438014,2.0916955411968665
2011-03-17,0.0,0.0,0.0,0.0,2.4277333718438014,2.0916955411968665
2011-03-18,0.0,0.0,0.0,0.0,2.4277333718438014,2.0916955411968665
2011-03-21,0.009327875735908986,0.008827875735908985,0.5,1.0,2.4503789670562797,2.1101607695119076
2011-03-22,-0.0007902907617396149,-0.0007902907617396149,0.0,1.0,2.448442455195854,2.108493128949977
2011-03-23,0.002186436610664172,0.002186436610664172,0.0,1.0,2.4537958194189984,2.113103215520447
2011-03-24,0.0,-0.0005,0.5,0.0,2.4537958194189984,2.112046663912687
2011-03-25,6.890991217027099e-05,-0.000431090087829729,0.5,1.0,2.453964910273398,2.1111361815308403
2011-03-28,-0.002257097078663478,-0.002257097078663478,0.0,1.0,2.448426073243277,2.106371142222846
2011-03-29,0.001383506700638193,0.001383506700638193,0.0,1.0,2.4518134871216266,2.1092853208121425
2011-03-30,0.00479411550687873,0.00479411550687873,0.0,1.0,2.4635677641802105,2.1193974782770795
2011-03-31,0.004112764915215311,0.004112764915215311,0.0,1.0,2.4736998392469864,2.1281140618671333
2011-04-01,0.005167657167924425,0.005167657167924425,0.0,1.0,2.4864830719525646,2.139111425753102
2011-04-04,0.002484287672583953,0.002484287672583953,0.0,1.0,2.4926602111963048,2.144425593898384
2011-04-05,-0.0026145904120902135,-0.0026145904120902135,0.0,1.0,2.486142925707512,2.138818799301136
2011-04-06,-0.00242092784084355,-0.00242092784084355,0.0,1.0,2.4801241530823503,2.1336408733233885
2011-04-07,-0.0021229835884785846,-0.0021229835884785846,0.0,1.0,2.474858890207967,2.1291111887656156
2011-04-08,0.0015311019863322637,0.0015311019863322637,0.0,1.0,2.4786481515706567,2.1323710751358567
2011-04-11,-0.00469523461231397,-0.00469523461231397,0.0,1.0,2.467010316977654,2.122359092657582
2011-04-12,-0.008097101710167356,-0.008097101710167356,0.0,1.0,2.447034683521054,2.105174135218835
2011-04-13,0.0023627308110400758,0.0023627308110400758,0.0,1.0,2.452816367763493,2.110148095010721
2011-04-14,0.003980560656232432,0.003980560656232432,0.0,1.0,2.462579952093975,2.1185476674965447
2011-04-15,0.0,-0.0005,0.5,0.0,2.462579952093975,2.1174883936627964
2011-04-18,0.0,0.0,0.0,0.0,2.462579952093975,2.1174883936627964
2011-04-19,0.006753280377035338,0.006253280377035339,0.5,1.0,2.479210444961332,2.1307296422834883
2011-04-20,0.011237989626155001,0.011237989626155001,0.0,1.0,2.507071786222862,2.1546747598996108
2011-04-21,0.0051380970795423435,0.0051380970795423435,0.0,1.0,2.5199533644458567,2.1657456879908143
2011-04-25,0.00041057471449806865,0.00041057471449806865,0.0,1.0,2.5209879935790123,2.1666348884083364
2011-04-26,0.00969444778859808,0.00969444778859808,0.0,1.0,2.5454275800584467,2.187639217210966
2011-04-27,0.004458546540563648,0.004458546540563648,0.0,1.0,2.5567764873897714,2.197392908474863
2011-04-28,3.1299108579657784e-05,3.1299108579657784e-05,0.0,1.0,2.556856512214664,2.1974616849140975
2011-04-29,0.0,-0.0005,0.5,0.0,2.556856512214664,2.1963629540716405
2011-05-02,-0.0012893408053186637,-0.0017893408053186637,0.5,1.0,2.5535598527801207,2.1924329122146298
2011-05-03,-0.007410480509855681,-0.007410480509855681,0.0,1.0,2.5346367472603437,2.176185930849497
2011-05-04,-0.009223638060736589,-0.009223638060736589,0.0,1.0,2.5112581752881717,2.156113579470474
2011-05-05,0.0,-0.0005,0.5,0.0,2.5112581752881717,2.155035522680739
2011-05-06,0.0,0.0,0.0,0.0,2.5112581752881717,2.155035522680739
2011-05-09,0.0,0.0,0.0,0.0,2.5112581752881717,2.155035522680739
2011-05-10,0.0,0.0,0.0,0.0,2.5112581752881717,2.155035522680739
2011-05-11,0.0,0.0,0.0,0.0,2.5112581752881717,2.155035522680739
2011-05-12,0.0,0.0,0.0,0.0,2.5112581752881717,2.155035522680739
2011-05-13,0.0,0.0,0.0,0.0,2.5112581752881717,2.155035522680739
2011-05-16,0.0,0.0,0.0,0.0,2.5112581752881717,2.155035522680739
2011-05-17,0.0,0.0,0.0,0.0,2.5112581752881717,2.155035522680739
2011-05-18,0.006658971961072883,0.006158971961072884,0.5,1.0,2.5279805730644305,2.1683083260400458
2011-05-19,-0.00039889490283100614,-0.00039889490283100614,0.0,1.0,2.526972174499379,2.1674433989010224
2011-05-20,-0.0041080789301484915,-0.0041080789301484915,0.0,1.0,2.516591173352247,2.1585393703417077
2011-05-23,-0.011744902104827279,-0.011744902104827279,0.0,1.0,2.487034056383352,2.133187536747629
